fullname,abv
Jackson,JAC
Holmes,HOL
Walton,WAL
Washington,WAS
Nassau,NAS
Gadsden,GAD
Leon,LEO
Jefferson,JEF
Madison,MAD
Hamilton,HAM
Calhoun,CAL
Liberty,LIB
Columbia,CLM
Baker,BAK
Duval,DUV
Bay,BAY
Suwannee,SUW
Okaloosa,OKA
Santa Rosa,SAN
Escambia,ESC
Taylor,TAY
Wakulla,WAK
Lafayette,LAF
St. Johns,STJ
Gulf,GUL
Clay,CLA
Union,UNI
Bradford,BRA
Franklin,FRA
Alachua,ALA
Gilchrist,GIL
Putnam,PUT
Dixie,DIX
Flagler,FLA
Levy,LEV
Marion,MRN
Volusia,VOL
Lake,LAK
Citrus,CIT
Sumter,SUM
Seminole,SEM
Orange,ORA
Hernando,HER
Brevard,BRE
Pasco,PAS
Polk,POL
Osceola,OSC
Pinellas,PIN
Hillsborough,HIL
Indian River,IND
Hardee,HAR
Highlands,HIG
Manatee,MAN
Okeechobee,OKE
St. Lucie,STL
Sarasota,SAR
DeSoto,DES
Martin,MRT
Glades,GLA
Charlotte,CHA
Palm Beach,PAL
Hendry,HEN
Lee,LEE
Collier,CLL
Broward,BRO
Miami-Dade,DAD
Monroe,MON
