"id","Precinct","County","Gender","Year","Percent","Number"
"ALA17","17","Alachua","Male",2000,0.696127394679934,78
"ALA18","18","Alachua","Male",2000,0.939508452545851,63
"ALA21","21","Alachua","Male",2000,0.509249959141016,22
"ALA22","22","Alachua","Male",2000,0.22540158755146,76
"ALA19","19","Alachua","Male",2000,0.889748430578038,27
"ALA20","20","Alachua","Male",2000,0.284311361145228,8
"ALA29","29","Alachua","Male",2000,0.575615167152137,46
"ALA30","30","Alachua","Male",2000,0.246248831506819,39
"ALA31","31","Alachua","Male",2000,0.111421483336017,74
"ALA32","32","Alachua","Male",2000,0.0587971028871834,91
"ALA33","33","Alachua","Male",2000,0.428715875372291,96
"ALA34","34","Alachua","Male",2000,0.398898030398414,15
"ALA35","35","Alachua","Male",2000,0.911621140316129,39
"ALA23","23","Alachua","Male",2000,0.233072109753266,30
"ALA24","24","Alachua","Male",2000,0.658782884245738,62
"ALA25","25","Alachua","Male",2000,0.778106440789998,10
"ALA26","26","Alachua","Male",2000,0.57365498971194,20
"ALA27","27","Alachua","Male",2000,0.557440480217338,97
"ALA28","28","Alachua","Male",2000,0.053286159876734,20
"ALA01","01","Alachua","Male",2000,0.617325553903356,10
"ALA02","02","Alachua","Male",2000,0.219863990787417,51
"ALA03","03","Alachua","Male",2000,0.843940190039575,95
"ALA04","04","Alachua","Male",2000,0.452437199885026,85
"ALA05","05","Alachua","Male",2000,0.959360440727323,54
"ALA06","06","Alachua","Male",2000,0.191518987296149,61
"ALA07","07","Alachua","Male",2000,0.220463834237307,11
"ALA08","08","Alachua","Male",2000,0.181123686023057,65
"ALA09","09","Alachua","Male",2000,0.892973002977669,60
"ALA10","10","Alachua","Male",2000,0.864535113796592,52
"ALA11","11","Alachua","Male",2000,0.908480115933344,44
"ALA12","12","Alachua","Male",2000,0.854192776838318,83
"ALA13","13","Alachua","Male",2000,0.00505870184861124,30
"ALA14","14","Alachua","Male",2000,0.935088346479461,60
"ALA15","15","Alachua","Male",2000,0.364213847788051,11
"ALA16","16","Alachua","Male",2000,0.851813917048275,3
"ALA55","55","Alachua","Male",2000,0.0036195432767272,85
"ALA56","56","Alachua","Male",2000,0.303603402106091,14
"ALA57","57","Alachua","Male",2000,0.812747439369559,34
"ALA58","58","Alachua","Male",2000,0.739263479830697,2
"ALA59","59","Alachua","Male",2000,0.194424593588337,61
"ALA60","60","Alachua","Male",2000,0.684925151057541,54
"ALA61","61","Alachua","Male",2000,0.464152231579646,74
"ALA62","62","Alachua","Male",2000,0.197002573637292,30
"ALA63","63","Alachua","Male",2000,0.617293479852378,90
"ALA37","37","Alachua","Male",2000,0.493238985771313,64
"ALA38","38","Alachua","Male",2000,0.172096081543714,23
"ALA39","39","Alachua","Male",2000,0.543106716126204,38
"ALA40","40","Alachua","Male",2000,0.930879596620798,16
"ALA41","41","Alachua","Male",2000,0.118680326035246,1
"ALA42","42","Alachua","Male",2000,0.922191472491249,55
"ALA43","43","Alachua","Male",2000,0.0813936851918697,90
"ALA44","44","Alachua","Male",2000,0.494314004434273,9
"ALA45","45","Alachua","Male",2000,0.889358951710165,36
