Year,County,Precinct,Gender,Percent,Number
2000,Palm Beach,1004,Male,0.941255606,94
2000,Palm Beach,1014,Male,0.868477891,30
2000,Palm Beach,1018,Male,0.901986339,28
2000,Palm Beach,1019,Male,0.041255165,71
2000,Palm Beach,1022,Male,0.078878723,76
2000,Palm Beach,1024,Male,0.141767656,7
2000,Palm Beach,1026,Male,0.171896894,78
2000,Palm Beach,1028,Male,0.877684792,41
2000,Palm Beach,1030,Male,0.20151175,40
2000,Palm Beach,1032,Male,0.467919951,70
2000,Palm Beach,1034,Male,0.453964709,6
2000,Palm Beach,1038,Male,0.85949773,23
2000,Palm Beach,1040,Male,0.449274791,48
2000,Palm Beach,1044,Male,0.933786194,26
2000,Palm Beach,1046,Male,0.680175094,13
2000,Palm Beach,1048,Male,0.428308499,9
2000,Palm Beach,1050,Male,0.417026931,72
2000,Palm Beach,1052,Male,0.493177128,82
2000,Palm Beach,1054,Male,0.298031338,24
2000,Palm Beach,1056,Male,0.87047103,5
2000,Palm Beach,1058,Male,0.845326776,55
2000,Palm Beach,1060,Male,0.550201931,14
2000,Palm Beach,1062,Male,0.484577535,59
2000,Palm Beach,1064,Male,0.825128899,99
2000,Palm Beach,1068,Male,0.682478401,100
2000,Palm Beach,1070,Male,0.663030417,41
2000,Palm Beach,1072,Male,0.961243016,56
2000,Palm Beach,1074,Male,0.680882088,39
2000,Palm Beach,1075,Male,0.432763925,13
2000,Palm Beach,1076,Male,0.042860293,48
2000,Palm Beach,1078,Male,0.100343312,30
2000,Palm Beach,1080,Male,0.302897276,18
2000,Palm Beach,1082,Male,0.798434522,40
2000,Palm Beach,1084,Male,0.428863725,5
2000,Palm Beach,1088,Male,0.580367311,89
2000,Palm Beach,1094,Male,0.688476505,37
2000,Palm Beach,1096,Male,0.49201882,61
2000,Palm Beach,1098,Male,0.556076885,28
2000,Palm Beach,1100,Male,0.652264032,89
2000,Palm Beach,1102,Male,0.246906339,96
2000,Palm Beach,1104,Male,0.215257048,25
2000,Palm Beach,1106,Male,0.245643374,64
2000,Palm Beach,1108,Male,0.171081658,30
2000,Palm Beach,1110,Male,0.05021253,61
2000,Palm Beach,1112,Male,0.450144225,91
2000,Palm Beach,1114,Male,0.230023028,58
2000,Palm Beach,1118,Male,0.462290783,5
2000,Palm Beach,1120,Male,0.663597026,0
2000,Palm Beach,1122,Male,0.627901549,53
2000,Palm Beach,1124,Male,0.614010862,63
2000,Palm Beach,1126,Male,0.508313829,82
2000,Palm Beach,1128,Male,0.204802337,17
2000,Palm Beach,1130,Male,0.436015085,46
2000,Palm Beach,1132,Male,0.442284599,64
2000,Palm Beach,1136,Male,0.355256778,43
2000,Palm Beach,1138,Male,0.017646501,29
2000,Palm Beach,1140,Male,0.954653442,64
2000,Palm Beach,1142,Male,0.031871322,14
2000,Palm Beach,1144,Male,0.73956105,53
2000,Palm Beach,1146,Male,0.660624584,69
2000,Palm Beach,1148,Male,0.676917868,42
2000,Palm Beach,1152,Male,0.958117243,25
2000,Palm Beach,1154,Male,0.144672875,76
2000,Palm Beach,1156,Male,0.683495061,66
2000,Palm Beach,1158,Male,0.966757032,15
2000,Palm Beach,1160,Male,0.491683076,20
